,Rec_1,Rec_2,Rec_3,Rec_4,Rec_5,Rec_6,Rec_7,Rec_8
WP_1,0.5375031,0.5595195,0.8683901,0.69730055,0.5875639,0.73297036,0.26396346,0.597036
WP_2,0.6119137,0.6487996,0.65338504,0.61384004,0.6877769,0.65748477,0.38308132,0.64351255
WP_3,0.7717875,0.71158713,0.5116962,0.45223016,0.53199875,0.59966254,0.35497624,0.49629012
WP_4,0.41758323,0.5887108,0.56472456,0.5944084,0.569577,0.590217,0.2974472,0.60039794
WP_5,0.8977828,0.69713306,0.5500395,0.47087383,0.50901014,0.589113,0.36865962,0.48730797
WP_6,0.51936686,0.513573,0.808205,0.6978073,0.5646877,0.71411794,0.27483618,0.59828544
WP_7,0.42687085,0.44343555,0.6495789,0.774861,0.52656996,0.52396,0.28024817,0.48664528
WP_8,0.49285606,0.4850585,0.58152467,0.5276168,0.5383668,0.66793907,0.30771115,0.5487354
WP_9,0.53268325,0.5223459,0.7917725,0.68245685,0.49837285,0.70095074,0.31254107,0.5744588
WP_10,0.4936925,0.57007563,0.554124,0.51690894,0.50493366,0.6645647,0.27490085,0.53283346
WP_11,0.6027371,0.6195222,0.5217911,0.4846788,0.5478531,0.68636835,0.30601606,0.5814743
WP_12,0.5973825,0.57465225,0.6854204,0.6362713,0.62943995,0.6892898,0.37333286,0.5738994
WP_13,0.5608951,0.58995825,0.6549696,0.615792,0.5320507,0.7197387,0.29650083,0.5243014
WP_14,0.46416447,0.4919285,0.6199205,0.5903865,0.6291145,0.57210934,0.28616995,0.541253
WP_15,0.7884532,0.6942353,0.5944927,0.5228114,0.49367803,0.6067374,0.34026006,0.5464549
WP_16,0.36423072,0.35078758,0.26266837,0.28658628,0.42869043,0.32299644,0.79163635,0.2962563
WP_17,0.45911312,0.5519641,0.55214554,0.5522294,0.905691,0.5437793,0.37047577,0.6341963
WP_18,0.52047765,0.56893694,0.92739415,0.7346462,0.6070056,0.69208974,0.21942087,0.6032479
WP_19,0.5575367,0.5907638,0.7091183,0.60581785,0.59860224,0.70730495,0.30251175,0.6784214
WP_20,0.5313289,0.63076055,0.653868,0.5859717,0.59469974,0.6899136,0.31210387,0.75145066
