,Rec_1,Rec_2,Rec_3,Rec_4,Rec_5,Rec_6,Rec_7,Rec_8
WP_1,0.67401624,0.5933734,0.82252824,0.6927225,0.61115915,0.7634138,0.46151263,0.564217
WP_2,0.66126585,0.5891885,0.6514765,0.59848,0.56837845,0.76901996,0.5628431,0.5970604
WP_3,0.81485623,0.7018008,0.64589185,0.5334499,0.55271816,0.7089913,0.47450086,0.52838206
WP_4,0.62648284,0.58164513,0.6707941,0.5562647,0.5622942,0.6412586,0.48924828,0.5175715
WP_5,0.842589,0.6815913,0.6822431,0.55705756,0.5921619,0.7164044,0.51951015,0.5427599
WP_6,0.66065115,0.61993945,0.8362032,0.7485451,0.6293799,0.75190055,0.49156904,0.5899131
WP_7,0.63109475,0.6167966,0.8165685,0.7854655,0.60528505,0.71593237,0.4741843,0.5278536
WP_8,0.66581,0.62274754,0.69208026,0.6295207,0.58553267,0.76476437,0.50288016,0.5969422
WP_9,0.65704596,0.61151356,0.7895158,0.7016263,0.59099346,0.7355346,0.46775675,0.5477187
WP_10,0.7193291,0.5929417,0.67786705,0.61362725,0.5587271,0.7957821,0.4970416,0.57966465
WP_11,0.66006947,0.5663342,0.6707306,0.5880311,0.56891274,0.76254344,0.5097057,0.62223136
WP_12,0.70561236,0.60931224,0.70755213,0.62465525,0.5953488,0.76502067,0.51630783,0.57404923
WP_13,0.70932543,0.6492143,0.6905525,0.60775465,0.5970444,0.7276399,0.47269714,0.5321687
WP_14,0.62920046,0.60920364,0.70427704,0.5980593,0.7407628,0.70138425,0.546324,0.58190274
WP_15,0.7679932,0.67528933,0.6331038,0.5245921,0.53354204,0.6868144,0.4561418,0.50717574
WP_16,0.579623,0.53976053,0.53571945,0.46845654,0.5968441,0.5358068,0.81578046,0.43878913
WP_17,0.62674755,0.61714697,0.66685015,0.58189225,0.8851075,0.6194873,0.5184271,0.55645484
WP_18,0.620785,0.63823724,0.82672507,0.7272022,0.587533,0.6608121,0.45441815,0.5162783
WP_19,0.67745674,0.6693169,0.6582197,0.5769389,0.61310905,0.72743976,0.47394088,0.673609
WP_20,0.6446934,0.64523673,0.5989747,0.56691694,0.5885491,0.6845425,0.4513494,0.70405155
