,Rec_1,Rec_2,Rec_3,Rec_4,Rec_5,Rec_6,Rec_7,Rec_8
WP_1,0.8554381517901589,0.8440049737980567,0.9358584208668426,0.8777984611908902,0.8532397441943537,0.8823620267339657,0.8018521927800022,0.8504371459947597
WP_2,0.8672446630571725,0.8693126229402246,0.8665822170369852,0.8566231292118371,0.8468195459509483,0.8863040564936742,0.8020913061855574,0.867944494502819
WP_3,0.917244389735219,0.9087712221274878,0.839161989896073,0.825518927514199,0.8146718017533121,0.8572861267878575,0.7949162268089559,0.8361369422356267
WP_4,0.8329222554730782,0.8528048274751807,0.8625741678363387,0.8500448406495035,0.8406300969078448,0.8620649411309359,0.802610304700047,0.8596239744608001
WP_5,0.9297914837020858,0.8880997852923228,0.8365139519813144,0.8205334849803304,0.8254251375366238,0.8485574267899716,0.8130951987375847,0.8247064273281222
WP_6,0.8477716690026165,0.8266969405356148,0.9333229969929655,0.8846348852109027,0.838190779395777,0.8710611919000006,0.7874769587408422,0.8425671545191125
WP_7,0.8322465659069787,0.8360330644891417,0.9034300858319915,0.9287876681106304,0.8278197539253594,0.8541013193321847,0.7849018443827462,0.8329821948062444
WP_8,0.6378322917268417,0.5786512979226055,0.6391333409691515,0.6134748228789046,0.6062962595430843,0.6265806435845942,0.5643931254139676,0.6026132659571777
WP_9,0.8354215244553864,0.8242014137736512,0.9241137000861819,0.8801346582912768,0.8359806549003213,0.8664208446526466,0.7749957151806892,0.8454444381841797
WP_10,0.8260009590941461,0.8399528659123894,0.8550988951723606,0.8384018183164892,0.8264244663375306,0.8965606608236313,0.7758004128942453,0.8467282151141828
WP_11,0.8577963443106906,0.8591905131663407,0.8633818317299583,0.8456536446013748,0.8397826699758539,0.8879274506747301,0.775631065729322,0.8743353795075102
WP_12,0.8618528283026468,0.8492462212642568,0.8630760930683172,0.8487825107267811,0.8345734528038349,0.8758572276085552,0.8024316821562831,0.8427055045518007
WP_13,0.86385974797183,0.8712392527363266,0.8661070400543651,0.8505198632494602,0.8520562831876286,0.8810867385228177,0.7924467320062044,0.8590914920133387
WP_14,0.8387170115786409,0.8202608171460344,0.861583838969941,0.8450300310352392,0.8736976943102442,0.8539649689187516,0.7912225780370225,0.8378728573914733
WP_15,0.9072614816253826,0.909790143575439,0.8295437346236272,0.823067621982194,0.8009678800813989,0.8421460576064674,0.7810463222479155,0.8324331665209632
WP_16,0.8325380861814633,0.7964087004733962,0.8013467565946066,0.80116559214732,0.807937252229485,0.8055139704138292,0.9344686474865089,0.783683816699566
WP_17,0.8288726385488421,0.8364788691768521,0.8697918474116296,0.8502945112850626,0.9669281681327629,0.8633032735448093,0.7862898900964261,0.8511393951557734
WP_18,0.8323819029772296,0.8330050545621752,0.9644111256030723,0.9013360082747237,0.8443962873169386,0.8746698888609791,0.787354335416876,0.849319527106535
WP_19,0.8362959803757664,0.8636796363397388,0.8712130882137326,0.848212605914743,0.8381133655009696,0.8877930764234048,0.771190320054959,0.8982103663381831
WP_20,0.822926660182774,0.8631858664616143,0.8675885320452876,0.8509341726045858,0.8403319511472956,0.8928789145116353,0.7707052622415869,0.9082315402082236
