,Rec_1,Rec_2,Rec_3,Rec_4,Rec_5,Rec_6,Rec_7,Rec_8
WP_1,0.49027736118720205,0.5405339955759971,0.8253405433910252,0.6055088064465576,0.5141693796819278,0.5764733455159783,0.3839463118645846,0.4994955419810157
WP_2,0.5822971514887806,0.5936528769346233,0.6747320954956139,0.5825306045196345,0.5636983265663533,0.6690153651045809,0.3937286832967838,0.5129910784984683
WP_3,0.7781793848807548,0.7473849951024217,0.4940109004377867,0.45212750491643205,0.48724918561618424,0.5557715482108768,0.4213828620924391,0.5040775283458713
WP_4,0.38376240187857846,0.49088495586915915,0.47087700013799066,0.4293173409382117,0.4171213120655074,0.4517371229554721,0.34586069359920274,0.5059252577833409
WP_5,0.8243067403729379,0.6919320094810452,0.5254590491670956,0.47887906628943133,0.5221738632414555,0.5707465340670269,0.5120099995614904,0.4877559122519404
WP_6,0.49637281023407104,0.5359757723449415,0.7870123851468935,0.6495625517262693,0.5174006575808712,0.5902002062827055,0.36975259983729847,0.4954676733672795
WP_7,0.5407196273767689,0.5274731393751773,0.7512864371730169,0.7752906900371387,0.5428376553270525,0.5953913376791171,0.4118459576277159,0.4942261090054896
WP_8,0.5696365080654251,0.6354415892755517,0.657074289054575,0.5592276699050828,0.5205370848655066,0.7834987888285516,0.39664535294230313,0.5899172637818058
WP_9,0.5048383999999759,0.5240394659561298,0.8069155818526577,0.6593679476554577,0.5280710555928589,0.6169151013877757,0.38267614347916323,0.502151663360746
WP_10,0.46395837890050595,0.5237767583384084,0.5716300324857877,0.48158109550521633,0.49353782528324797,0.7766816461652557,0.3495749291398037,0.5074786533161961
WP_11,0.4725199383548165,0.5009425475089581,0.5518849614579152,0.45049521025249883,0.49726897018154614,0.6261965333633481,0.31323777325174074,0.5437215021250476
WP_12,0.5069881711463428,0.4941003229350311,0.5667385346635695,0.48785255025594193,0.5533285198382291,0.5775739553980208,0.3653833341034209,0.5141780793398769
WP_13,0.5133724647205727,0.5772924763664073,0.5367064630817542,0.4789614458007794,0.5343602660946676,0.5699806364229535,0.31413037489243534,0.5178340188077956
WP_14,0.4909575814895677,0.4577612655607331,0.5711312151786898,0.5045026163658,0.6729349797816231,0.49399035467784563,0.3957410327401752,0.47330461282587855
WP_15,0.7516001223585134,0.8017922923256167,0.5456752516189053,0.48233159182995056,0.490164542362328,0.5480715366412785,0.4302823893400682,0.5152760617555054
WP_16,0.5202436286698702,0.40148848284932026,0.40112855134137493,0.390262569852891,0.4720596819866074,0.4159672548202833,0.8454305663895311,0.40724300320687346
WP_17,0.44054373281572,0.4610825749157615,0.5523604359769356,0.5204654892308774,0.8876429039213533,0.4996654294198131,0.3766978187591792,0.49943801945527977
WP_18,0.48345693281870833,0.5540719303585485,0.951434893713831,0.6743580847815168,0.5467498926283966,0.6219060753684087,0.37426783221954,0.5521615050606371
WP_19,0.5160262632065611,0.6439007948634747,0.6354591749314686,0.5067414423853568,0.5446109209230321,0.6343249357917793,0.3380609649113305,0.7287573018436992
WP_20,0.5108504521470087,0.6110537274739279,0.6024494440990865,0.4877793379298437,0.5467213297092005,0.618130342841425,0.3484892170748676,0.7038709437635623
