"agenda_item_nbr","title","wp_ids","rec_ids","withdrawn","past_meets","future_meets","next_meet"
"5","Telecommunications","ANT/XII/3 | ANT/XII/5 | ANT/XII/15 | ANT/XII/22 | ANT/XII/23","","False","False","True","False"
"6","Man's Impact on the Antarctic Environment","ANT/XII/1/REV1 | ANT/XII/6 | ANT/XII/7 | ANT/XII/9 | ANT/XII/18 | ANT/XII/25","XII-4 | XII-3","False","False","False","False"
"7","Sites of Special Scientific Interest","ANT/XII/14/REV1 | ANT/XII/17/REV1","XII-5","False","True","True","True"
"8","Tourism and non-Governmental Expeditions","ANT/XII/4/REV1","","True","False","True","True"
"9","Activities of Countries not Party to the Antarctic Treaty","","","False","False","False","False"
"10 | 11","Operation of the Antarctic Treaty System, and Public Availability of the Documents of the Consultative Meetings","ANT/XII/8 | ANT/XII/10 | ANT/XII/19 | ANT/XII/20 | ANT/XII/26/REV1 | ANT/XII/28/REV1","XII-6","False","False","True","True"
"12","Observers","ANT/XII/11 | ANT/XII/21","","False","False","True","True"
"13","Exchanges of Information Under the Antarctic Treaty","ANT/XII/12 | ANT/XII/13","","False","False","True","True"
"14","Uses of Antarctic Ice","","","False","False","True","True"
"15","Antarctic Minerals","","","False","True","False","False"
"16","Date and Place of Next Consultative Meeting","","","False","False","True","True"
"17","Any Other Business","ANT/XII/16/REV1","XII-7 | XII-8","False","False","False","False"
