"file_name","working_paper_id","full_title","submitted_by","submitted_by_country","agenda_item_referenced","agenda_item_numbers","agenda_item_title","nbr_of_articles_referenced","which_articles","nbr_of_recommendations_referenced","which_recommendations","previous_meeting_referenced","which_previous_meetings","previous_meetings_summary","nbr_of_previous_papers_referenced","which_previous_papers","previous_papers_summary","future_meeting_referenced","future_meetings_includes_next","which_future_meetings","future_meetings_summary","contains_draft_recommendation","summary"
"ATCM12_wp001_rev1_e.txt","ANT/XII/1/REV1","Agreed Measures for the Protection of the Antarctic Environment: Interim Guidelines - Draft UK Recommendation (Item 6)","Australia","True","True","6","Agreed Measures for the Protection of the Antarctic Environment: Interim Guidelines","1","II","5","VI-4 | VIII-11 | VIII-13 | IX-5 | XI-1","False","None","None","0","None","None","True","False","a future Consultative Meeting","In the light of experience gained and of SCAR's advice, they consider at a future Consultative Meeting the formulation and adoption of agreed Measures for the Protection of the Antarctic Environment.","True","This draft recommendation from Australia proposes interim guidelines and procedures for assessing the environmental impact of scientific activities in Antarctica. It recommends Consultative Parties voluntarily adopt these guidelines on an experimental basis to gain experience, invites SCAR to provide advice on activities that may have significant environmental impact, and suggests considering the adoption of agreed environmental protection measures at a future Consultative Meeting based on the experience gained and SCAR's advice."
"ATCM12_wp003_e.txt","ANT/XII/3","Improvement of Telecommunications in Antarctica and Distribution of Meteorological Data","United Kingdom","True","False","None","None","0","None","1","X-3","True","Tenth Consultative Meeting","At the Tenth Consultative Meeting a Recommendation was adopted that foresaw the possibility of a solution to the technical problem of Antarctic telecommunications for meteorological purposes.","0","None","None","False","False","None","None","True","This working paper by the UK proposes a draft recommendation to improve telecommunications in Antarctica for meteorological purposes. It notes recent WMO meetings that reviewed the issue and made conclusions to improve transmission of Antarctic meteorological data within the WMO Global Telecommunications System. The draft recommendation calls on governments to strive to improve the system for collecting and transmitting Antarctic meteorological data, to improve transmission of this data within the GTS, and to provide information to enable data exchange between Antarctic centers and WMO centers."
"ATCM12_wp004_rev1_e.txt","ANT/XII/4/REV1","Non-Governmental Expeditions (NGE's) (Revised draft recommendation submitted by United Kingdom)","United Kingdom","True","False","None","None","1","X","5","I-X | IV-27 | VI-7 | VIII-9 | X-8","False","None","None","0","None","None","False","False","None","None","True","This revised draft recommendation from the UK addresses non-governmental expeditions (NGEs) in Antarctica. It categorizes requests for assistance from NGEs as planned, necessary, or emergency. It recognizes that national Antarctic programs are publicly funded for scientific research and supporting NGEs may divert resources from those purposes. It affirms Parties should ensure no one engages in activities contrary to the Antarctic Treaty. It recommends Parties inquire about NGE plans, provide them this recommendation and a statement of accepted practices, emphasize considerations like self-sufficiency and non-interference with science programs, consult before providing planned assistance to foreign NGEs, and urge NGEs to provide financial guarantees to reimburse assistance costs. The recommendation shall not prejudice the obligation to provide emergency assistance or the right to decide not to assist NGEs."
"ATCM12_wp005_e.txt","ANT/XII/5","Item Five - Telecommunications and Meteorology (Draft recommendation submitted by Australia)","Australia","True","True","5","Telecommunications and Meteorology","0","None","1","X-3","False","None","None","0","None","None","False","False","None","None","True","This draft recommendation submitted by Australia addresses telecommunications and meteorology issues in Antarctica. It recalls Recommendation X-3 and notes the importance of Antarctic meteorological data to the World Weather Watch. It recommends that governments note updated diagrams of meteorological data flow prepared by the WMO and implement various WMO procedures and monitoring to improve the availability and dissemination of Antarctic meteorological data on the Global Telecommunication System (GTS)."
"ATCM12_wp006_e.txt","ANT/XII/6","Agenda Item 6: Man's Impact on the Antarctic Environment (Discussion Paper to be circulated by Australia)","Australia","True","True","6","Man's Impact on the Antarctic Environment","1","IX","10","VIII-11 | VIII-9 | X-8 | VI-14 | VIII-3 | VIII-4 | III-VIII | IV-21 | IX-2","False","None","None","1","ANT/XII/PREP/8/Rev. 1","Chile proposed a Recommendation reflecting concern that the likely increase in man's activity will not be adequately controlled by the existing system of environmental protection measures.","False","False","None","None","False","This discussion paper by Australia reviews the existing system of environmental protection measures in Antarctica, including conventions and recommendations. It notes that while these measures provide fairly comprehensive protection, the system has evolved in a piecemeal way and may not be adequate to cover increasing human activities. The paper suggests the need to review and possibly rationalize the measures. It supports a UK proposal for interim guidelines to assess impacts of new developments. It also outlines options to consider, such as retaining existing conventions with new recommendations, developing new agreed measures to complement existing ones, or developing an integrated convention on environmental protection."
"ATCM12_wp007_e.txt","ANT/XII/7","Agenda Item 6: Man's Impact on the Antarctic Environment (Draft recommendation submitted by Australia)","Australia","True","True","6","Man's Impact on the Antarctic Environment","2","VII | IX","1","VIII-11","False","None","None","0","None","None","False","False","None","None","True","This draft recommendation submitted by Australia addresses man's impact on the Antarctic environment. It recalls Recommendation VIII-11, notes increased awareness of waste disposal impacts, and recommends that ATCPs observe the annexed code of conduct on waste disposal, introduction of alien species, disturbance of wildlife, and environmental impact assessments to the greatest extent feasible at their stations and activities in the Antarctic Treaty Area."
"ATCM12_wp008_e.txt","ANT/XII/8","Item 10. Operation of the Antarctic Treaty (Working Document presented by the Delegation of Chile)","Chile","True","True","10","Operation of the Antarctic Treaty","1","III","0","None","True","XI Consultative Meeting","At the XI Consultative Meeting held in Buenos Aires, the Delegation of Chile presented document ANT/XI/5/Rev.1 concerning this subject which was discussed at the said Meeting.","1","ANT/XI/5/Rev.1","Document ANT/XI/5/Rev.1, dated 6 July 1981, was presented by Chile at the XI Consultative Meeting concerning this subject.","False","False","None","None","False","This working paper by Chile examines the operation of the Antarctic Treaty System and proposes measures to improve its efficiency, exposure, and relationships with third party states and international organizations, without modifying the Treaty itself. Measures proposed include better circulation of the System's achievements, greater participation of non-Consultative Treaty parties, enhanced relationships with UN and other international organizations, contacts with non-governmental entities related to Antarctica, representation of the Treaty System internationally, improved information exchange between parties, and administrative improvements. Three options are presented for the infrastructure needed to implement the proposed actions."
"ATCM12_wp009_e.txt","ANT/XII/9","Item 6. Impact of Man on the Antarctic Environment (Working Document submitted by the Delegations of Chile and Argentina)","Chile | Argentina","True","True","6","Impact of Man on the Antarctic Environment","0","None","11","VI-4 | VII-1 | VIII-11 | VIII-13 | IX-5 | X-4 | X-6 | X-5 | XI-1","True","IX Antarctic Treaty Consultative Meeting","The Final Report of the IX Antarctic Treaty Consultative Meeting reflected special concern regarding man's impact on the Antarctic environment in relation to a future regime for mineral resource exploration and exploitation.","0","None","None","True","False","XII Antarctic Treaty Consultative Meeting","Proposes including a special agenda item at the XII ATCM to study a draft Recommendation on ensuring activities under Antarctic agreements do not harm the environment.","True","The working paper expresses concern about the impact of human activities on the Antarctic environment, especially in light of current and future activities under Antarctic conventions. It proposes that the XII ATCM include an agenda item to study a draft Recommendation that would: 1) Declare it the duty of Consultative Parties to ensure activities under Antarctic agreements do not harm the environment, 2) Recommend governments adopt measures so activities follow existing environmental recommendations, include environmental measures in new agreements, urge completion of studies on mineral exploitation impacts, and leave space for additional measures to be added."
"ATCM12_wp010_e.txt","ANT/XII/10","Item 11: Public Availability of the Documents of the Consultative Meetings (Explanatory Note and Draft Recommendation submitted by the United Kingdom)","United Kingdom","True","True","11","Public Availability of the Documents of the Consultative Meetings","1","III","2","I-XIV | VIII-8","True","XI","This matter was discussed at length at the XIth ATCM but no conclusion was reached. It was agreed the matter should be further discussed at the XIIth ATCM.","0","None","None","False","False","None","None","True","The UK submits an explanatory note recalling the main points from the discussion on public availability of ATCM documents at the XIth ATCM. It also submits a draft recommendation to: 1) Send ATCM Reports to all Contracting Parties, not just Consultative Parties 2) Allow ATCM host gov't to draw UN agencies' attention to relevant parts of the ATCM Report 3) Keep the Handbook of Measures up to date in all languages 4) Make ATCM Working Documents publicly available 5 years after the meeting."
"ATCM12_wp011_e.txt","ANT/XII/11","Matters Relating to the Appointment of Observers at Consultative Meetings (Discussion Paper Submitted by the United Kingdom)","United Kingdom","True","True","12","Matters Relating to the Appointment of Observers at Consultative Meetings","1","III","0","None","True","Second Antarctic Treaty Meeting on Telecommunications","Observers from SCAR and WMO were appointed for the Second Antarctic Treaty Meeting on Telecommunications.","0","None","None","False","False","None","None","False","The United Kingdom proposes inviting appropriate international organizations to attend as observers for agenda items related to their scientific or technical interests, to further Article III(2) of the Antarctic Treaty on establishing cooperative working relations. The preparatory meeting for each consultative meeting would consider which agenda items warrant inviting observers. The UK also proposes according the Commission for the Conservation of Antarctic Marine Living Resources normal observer status at all regular Consultative Meetings."
