"working_paper_id","file_name","did_not_contrib_to"
"ANT/XII/1/REV1","ATCM12_wp001_rev1_e.txt","XII-2 | XII-5 | XII-6 | XII-7 | XII-8"
"ANT/XII/3","ATCM12_wp003_e.txt","XII-3 | XII-4 | XII-5 | XII-7 | XII-8"
"ANT/XII/4/REV1","ATCM12_wp004_rev1_e.txt","XII-1 | XII-2 | XII-3 | XII-4 | XII-5 | XII-7 | XII-8"
"ANT/XII/5","ATCM12_wp005_e.txt","XII-3 | XII-4 | XII-5 | XII-6 | XII-7 | XII-8"
"ANT/XII/6","ATCM12_wp006_e.txt","XII-1 | XII-2 | XII-5 | XII-7 | XII-8"
"ANT/XII/7","ATCM12_wp007_e.txt","XII-1 | XII-2 | XII-5 | XII-6 | XII-7 | XII-8"
"ANT/XII/8","ATCM12_wp008_e.txt","XII-1 | XII-2 | XII-3 | XII-4 | XII-5 | XII-7 | XII-8"
"ANT/XII/9","ATCM12_wp009_e.txt","XII-1 | XII-2 | XII-5 | XII-6 | XII-7 | XII-8"
"ANT/XII/10","ATCM12_wp010_e.txt","XII-1 | XII-2 | XII-3 | XII-4 | XII-5 | XII-7 | XII-8"
"ANT/XII/11","ATCM12_wp011_e.txt","XII-2 | XII-3 | XII-4 | XII-5 | XII-7 | XII-8"
"ANT/XII/12","ATCM12_wp012_e.txt","XII-1 | XII-2 | XII-3 | XII-4 | XII-5 | XII-7 | XII-8"
"ANT/XII/13","ATCM12_wp013_e.txt","XII-1 | XII-2 | XII-3 | XII-4 | XII-5 | XII-7 | XII-8"
"ANT/XII/14/REV1","ATCM12_wp014_rev1_e.txt","XII-1 | XII-2 | XII-3 | XII-4 | XII-6 | XII-7 | XII-8"
"ANT/XII/15","ATCM12_wp015_e.txt","XII-3 | XII-4 | XII-5 | XII-6 | XII-7 | XII-8"
"ANT/XII/16/REV1","ATCM12_wp016_rev1_e.txt","XII-1 | XII-2 | XII-3 | XII-4 | XII-5 | XII-6 | XII-8"
"ANT/XII/17/REV1","ATCM12_wp017_rev1_e.txt","XII-1 | XII-2 | XII-3 | XII-4 | XII-6 | XII-7 | XII-8"
"ANT/XII/18","ATCM12_wp018_e.txt","XII-1 | XII-2 | XII-5 | XII-6 | XII-7 | XII-8"
"ANT/XII/19","ATCM12_wp019_e.txt","XII-1 | XII-2 | XII-3 | XII-4 | XII-5 | XII-7"
"ANT/XII/20","ATCM12_wp020_e.txt","XII-1 | XII-2 | XII-3 | XII-4 | XII-5 | XII-6 | XII-7 | XII-8"
"ANT/XII/21","ATCM12_wp021_e.txt","XII-1 | XII-2 | XII-3 | XII-4 | XII-5 | XII-7 | XII-8"
"ANT/XII/22","ATCM12_wp022_e.txt","XII-2 | XII-3 | XII-4 | XII-5 | XII-6 | XII-7 | XII-8"
"ANT/XII/23","ATCM12_wp023_e.txt","XII-1 | XII-3 | XII-4 | XII-5 | XII-6 | XII-7 | XII-8"
"ANT/XII/25","ATCM12_wp025_e.txt","XII-1 | XII-2 | XII-5 | XII-6 | XII-7 | XII-8"
"ANT/XII/26/REV1","ATCM12_wp026_e.txt","XII-1 | XII-2 | XII-3 | XII-4 | XII-5 | XII-7 | XII-8"
"ANT/XII/28/REV1","ATCM12_wp028_rev1_e.txt","XII-1 | XII-2 | XII-3 | XII-4 | XII-5 | XII-6 | XII-7"
